el-gr,auto-volume-skill.activate,Ενεργοποίησε την αυτόματη ένταση
el-gr,auto-volume-skill.activate,Όρισε την αυτόματη ένταση σε ενεργή
el-gr,auto-volume-skill.activate,Ενεργοποιήστε την αυτόματη ένταση
el-gr,auto-volume-skill.activate,Όρισε την αυτόματη ένταση (στο) ενεργό
el-gr,auto-volume-skill.deactivate,Απενεργοποίησε την αυτόματη ένταση
el-gr,auto-volume-skill.deactivate,Απενεργοποιήστε την αυτόματη ένταση
el-gr,auto-volume-skill.deactivate,Απενεργοποιήστε την αυτόματη ένταση
el-gr,auto-volume-skill.deactivate,Θέστε την αυτόματη ένταση (στο) ανενεργό 
el-gr,auto-volume-skill.reset,Εκκαθάριση παραμέτρων αυτόματης έντασης
el-gr,auto-volume-skill.reset,Διαφραφή παραμέτρων αυτόματης έντασης
el-gr,auto-volume-skill.reset,Επαναφορά παραμέτρων αυτόματης έντασης
el-gr,cocktail.Needed,τι χρειάζεται για να φτιάξω (ένα|το) {drink}
el-gr,cocktail.Needed,τι (χρειάζομαι|χρειάζεσαι) (για|για να φτιάξω|για να φτάξεις) (ένα|το) {drink}
el-gr,cocktail.Needed,ποια είναι τα (συστατικά) (του|για) (ένα|το) {drink}
el-gr,cocktail.Recipie,πώς (φτιάχνω|φτιάχνεις) (ένα|το) {drink}
el-gr,cocktail.Recipie,πες (μου|μας) πώς να (φτιάξω|φτιάξουμε) (ένα|το) {drink}
el-gr,cocktail.Recipie,δώσε (μου|μας) οδηγίες για (ένα|το) {drink}
el-gr,cocktail.Recipie,πώς να (φτιάξω) (ένα|το) {drink}
el-gr,cocktail.Recipie,ποια είναι η συνταγή για (ένα|το) {drink}
el-gr,count-skill.count,Μέτρα ως το {number}
el-gr,count-skill.countdown,Μέτρα αντίστροφα από το {number}
el-gr,count-skill.countdown,Μέτρα αντίστροφα από το {number}
el-gr,count-skill.countdown,Μέτρα αντίστροφα από το {number}
el-gr,count-skill.countdown,Μέτρα αντίστροφα από το {number}
el-gr,count-skill.countdown,Μέτρα αντίστροφα από το {number}
el-gr,count-skill.countdown,Από το {number} μέτρα αντίστροφα
el-gr,count-skill.countdown,Από το {number} μέτρα αντίστροφα
el-gr,fairytalez-skill.continue,Συνεχίζω την ιστορία
el-gr,fairytalez-skill.continue,Συνεχίζω την αφήγηση της ιστορίας
el-gr,fairytalez-skill.continue,Συνεχίζω το παραμύθι
el-gr,fairytalez-skill.continue,Συνεχίζω τη διήγηση του παραμυθιού
el-gr,fairytalez-skill.continue,Συνεχίζω το παραμύθι
el-gr,fairytalez-skill.continue,Συνεχίζω με το παραμύθι
el-gr,fairytalez-skill.continue,Συνεχίζω με το παραμύθι
el-gr,fairytalez-skill.fairytalez,(Πες|Διάβασέ) (μου| ) (μια|ένα) (καλή|καλό ) (ιστορία|παραμύθι)
el-gr,fairytalez-skill.fairytalez,(Πες|Διάβασέ) (μου| ) την ιστορία {tale}
el-gr,iss-tracker-skill.tracker.iss,Πού είναι ο διεθνής διαστημικός σταθμός
el-gr,iss-tracker-skill.tracker.iss,Εντόπισε το Διεθνή Διαστημικό Σταθμό
el-gr,iss-tracker-skill.tracker.iss,Πού είναι ο διαστημικός σταθμός
el-gr,laugh.Laugh,γέλα σαν την αλέξα
el-gr,laugh.Laugh,μπορείς να γελάσεις
el-gr,laugh.Laugh,σατανικό (γέλιο)
el-gr,laugh.RandomLaugh,σπαστικό γέλιο
el-gr,laugh.RandomLaugh,ρίξε ένα τυχαίο (γέλοιο|γέλωτα|χαμόγελο)
el-gr,laugh.RandomLaugh,τυχαίο (γέλοιο)
el-gr,wikiquote-skill.random,πες μου (ένα|μία) (γνωμικό|παραπομπή)
el-gr,wikiquote-skill.random,δώσε μου (ένα|μία) (γνωμικό|παραπομπή)
el-gr,wikiquote-skill.random,Χρειάζομαι λίγη σοφία
el-gr,wikiquote-skill.specific,πες μου (κάποιο|ένα|μία) {subject} (γνωμικό|σοφία)
el-gr,wikiquote-skill.specific,δώσε μου (κάποιο|ένα|μία) {subject} (γνωμικό|σοφία)
el-gr,wikiquote-skill.specific,Χρειάζομαι ένα {subject} (γνωμικό|σοφία)
el-gr,wikiquote-skill.specific,πες μου ένα γνωμικό (από|περί) {subject}
el-gr,wikiquote-skill.specific,δώσε μου ένα γνωμικό (από|περί) {subject}
el-gr,wikiquote-skill.specific,Χρειάζομαι ένα γνωμικό (από|περί) {subject}